File,Context,English,French,Japanese,Mandarin,"Portuguese, Brazilian"
code-of-conduct.md,"Image Source
XPath: /h1/l/img[@src]",/images/icons/magnifier.gif,/images/icons/magnifier.gif,/images/icons/magnifier.gif,/images/icons/magnifier.gif,/images/icons/magnifier.gif
code-of-conduct.md,"Headline 1
XPath: /h1","Project-wide Code of Conduct statement for Bioconductor","Code de bonne conduite applicable à l’intégralité du projet Bioconductor",Bioconductorのプロジェクト全体の行動規範の声明,"Project-wide Code of Conduct statement for Bioconductor","Código de Conduta para o Projeto Bioconductor"
code-of-conduct.md,"Paragraph text
XPath: /p","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)","(Adapté du <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">Code de bonne conduite pour la conférence BioC 2020</a>)","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)","(Adaptado do Código de Conduta BioC 2020)"
code-of-conduct.md,"Headline 1
XPath: /h1[2]","Code of Conduct","Code de bonne conduite",行動規範,"Code of Conduct","Código de Conduta"
code-of-conduct.md,"Text
XPath: /p[2]/strong","Version 1.0.1 (November 25, 2020)","Version 1.0.1 (25 Novembre 2020)","バージョン1.0.1 (2020年11月25日)","Version 1.0.1 (November 25, 2020)","Versão 1.0.1 (25 de novembro 2020)"
code-of-conduct.md,"List Item
XPath: /ul/li","Initial project-wide Code of Conduct, expanded from previous conference-specific documents","Version initiale du code de bonne conduite applicable à l’intégralité du projet Bioconductor, étendu sur la base de documents spécifiquement rédigés pour des conférences antérieures",以前に開催したカンファレンス固有のドキュメントから拡張された、プロジェクト全体の最初の行動規範です,"Initial project-wide Code of Conduct, expanded from previous conference-specific documents","Versão inicial do Código de Conduta para todo o projeto, expandido a partir de documentos específicos de conferência anteriores"
code-of-conduct.md,"Paragraph text
XPath: /p[3]","The Bioconductor community values","Les valeurs de la communauté Bioconductor",Bioconductorのコミュニティは下記を尊重します,"The Bioconductor community values","Os valores da comunidade Biocondutor"
code-of-conduct.md,"List Item
XPath: /ul[2]/li","an open approach to science that promotes the sharing of ideas, code, and expertise","une approche ouverte aux sciences, favorisant l’échange d’idées, de code, et d’expertise",「アイデア、コード、専門知識」の共有を促進する科学へのオープンなアプローチ,"an open approach to science that promotes the sharing of ideas, code, and expertise","uma abordagem aberta à ciência que promove o compartilhamento de ideias, códigos e conhecimentos"
code-of-conduct.md,"List Item
XPath: /ul[2]/li[2]",collaboration,collaboration,コラボレーション,collaboration,colaboração
code-of-conduct.md,"List Item
XPath: /ul[2]/li[3]","diversity and inclusivity","diversité et inclusion","diversity and inclusivity","diversity and inclusivity","diversidade e inclusão"
