"location","source","target"
"1","/images/icons/magnifier.gif","/images/icons/magnifier.gif"
"3","Project-wide Code of Conduct statement for Bioconductor","Code de bonne conduite applicable à l’intégralité du projet Bioconductor"
"5","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)","(Adapté du <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">Code de bonne conduite pour la conférence BioC 2020</a>)"
"7","Code of Conduct","Code de bonne conduite"
"9","Version 1.0.1 (November 25, 2020)","Version 1.0.1 (25 Novembre 2020)"
"11","Initial project-wide Code of Conduct, expanded from previous conference-specific documents","Version initiale du code de bonne conduite applicable à l’intégralité du projet Bioconductor, étendu sur la base de documents spécifiquement rédigés pour des conférences antérieures"
"13","The Bioconductor community values","Les valeurs de la communauté Bioconductor"
"15","an open approach to science that promotes the sharing of ideas, code, and expertise","une approche ouverte aux sciences, favorisant l’échange d’idées, de code, et d’expertise"
"17","collaboration","collaboration"
"19","diversity and inclusivity","diversité et inclusion"
"21","a kind and welcoming environment","un environnement accueillant et chaleureux"
"23","community contributions","contributions de la communauté"
"25","In line with these values, Bioconductor is dedicated to providing a welcoming, supportive, collegial, experience free of harassment, intimidation, and bullying regardless of:","Conformément à ces valeurs, Bioconductor se consacre à fournir une expérience accueillante, solidaire, collégiale, sans harcèlement, intimidation et intimidation, indépendamment de :"
"27","identity: gender, gender identity and expression, sexual orientation, disability, physical appearance, ethnicity, body size, race, age, religion, etc.","identité: genre, identité et expression du genre, orientation sexuelle, handicap, apparence physique, ethnicité, taille, race, âge, religion, etc."
"29","intellectual position: approaches to data analysis, software preferences, coding style, scientific perspective, etc.","position intellectuelle : approches envers l'analyse de données, préférences logicielles, style de codage, perspective scientifique, etc."
"31","stage of career","phase de carrière"
"33","By participating in this community, you agree not to engage in behavior contrary to these values at any Bioconductor-sponsored event (in person or virtual, including but not limited to talks, workshops, poster sessions, social activities) or electronic communication channel (including but not limited to community-bioc Slack, the support site, online forums and social media communications).","En participant à cette communauté, vous acceptez de ne pas adopter un comportement contraire à ces valeurs lors de tout événement parrainé par Bioconductor (en personne ou virtuel, y compris, mais sans s'y limiter, conférences, séminaires, presentations de posters, activités sociales) ou tout canal de communication électronique (y compris, mais sans s'y limiter, l'espace de travail Slack ""community-bioc"", le site de support, les forums en ligne et les communications sur les médias sociaux)."
"35","We do not tolerate harassment, intimidation, or bullying of community members.","Nous ne tolérons pas le harcèlement, l'intimidation ou la persécution des membres de la communauté."
"37","Sexual language and imagery are not appropriate in presentations, communications or in online venues, including chats.","Le langage sexuel et l'imagerie sont inappropriés dans les présentations, les communications ou les sites en ligne, y compris les chats."
"39","Any person/s violating the Code of Conduct may be sanctioned or expelled temporarily or permanently from an electronic platform or event at the discretion of the Code of Conduct committee.","Toute personne qui enfreint le Code de conduite peut être sanctionnée ou expulsée temporairement ou définitivement d'une plate-forme électronique ou d'un événement à la discrétion du comité du code de conduite."
"41","Examples of unacceptable harassment, intimidation, and bullying behavior.","Exemples de harcèlement, d'intimidation et d'intimidation inacceptables."
"43","Harassment includes, but is not limited to:","Le harcèlement inclut, mais ne se limite pas à :"
"45","Making comments in chats, to an audience or personally, that belittle or demean another person","Faire des commentaires dans les chats, publiquement ou personnellement, qui déprécient ou dévalorisent une autre personne"
"47","Sharing sexual images online","Partager des images sexuelles en ligne"
"49","Harassing photography or recording","Harceler par le biais de photographie ou enregistrement"
"51","Sustained disruption of talks or other events","Interrompre de façon prolongée des présentations ou autres événements"
"53","Unwelcome sexual attention","Des avances sexuelle indésirables"
"55","Advocating for, or encouraging, any of the above behavior","Défendre ou encourager l'un des comportements ci-dessus"
"57","Intimidation and bullying include, but are not limited to:","L'intimidation et la persécution incluent, mais ne sont pas limitées à:"
"59","Aggressive or browbeating behavior","Un comportement agressif ou intimidant"
"61","Mocking or insulting another person’s intellect, work, perspective, or question/comment","Se moquer ou insulter l'intelligence, le travail, la perspective, la question ou le commentaire d'une autre personne"
"63","Making reference to someone’s gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, religion, or other personal attributes in the context of a scientific discussion","Faire référence au sexe, à l’identité et à l’expression de genre, à l’orientation sexuelle, au handicap, à l’apparence physique, la taille, la race, l'âge, la religion ou d'autres attributs personnels dans le contexte d'une discussion scientifique"
"65","Deliberately making someone feel unwelcome","Délibérément faire quelqu'un se sentir rejeté"
"67","Trolling behaviour (deliberately inflammatory of offensive messages)","Un comportement de ""trolling"" (envoi de messages délibérément inflammatoires ou offensifs)"
"69","Sustained off-topic posts","L'envoi continu de messages hors-sujet"
"71","Enforcement","Mise en application"
