"location","source","target"
"1","/images/icons/magnifier.gif","/images/icons/magnifier.gif"
"3","Project-wide Code of Conduct statement for Bioconductor","Bioconductorのプロジェクト全体の行動規範の声明"
"5","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)","(Adapted from the <a href=""https://bioc2020.bioconductor.org/code_of_conduct"" f-id=""1"" lbb=""2"" fo=""1"">BioC 2020 Code of Conduct</a>)"
"7","Code of Conduct","行動規範"
"9","Version 1.0.1 (November 25, 2020)","バージョン1.0.1 (2020年11月25日)"
"11","Initial project-wide Code of Conduct, expanded from previous conference-specific documents","以前に開催したカンファレンス固有のドキュメントから拡張された、プロジェクト全体の最初の行動規範です"
"13","The Bioconductor community values","Bioconductorのコミュニティは下記を尊重します"
"15","an open approach to science that promotes the sharing of ideas, code, and expertise","「アイデア、コード、専門知識」の共有を促進する科学へのオープンなアプローチ"
"17","collaboration","コラボレーション"
"19","diversity and inclusivity","diversity and inclusivity"
"21","a kind and welcoming environment","親切で居心地の良い環境"
"23","community contributions","コミュニティへの貢献"
"25","In line with these values, Bioconductor is dedicated to providing a welcoming, supportive, collegial, experience free of harassment, intimidation, and bullying regardless of:","これらの価値観に沿って、Bioconductorは、下記リストに関係無く、「嫌がらせ、脅迫、いじめ」の無い、「歓迎的で、協力的で、それぞれが平等に権限を有する」体験を提供することに専念しています:"
"27","identity: gender, gender identity and expression, sexual orientation, disability, physical appearance, ethnicity, body size, race, age, religion, etc.","身元: 性別、性同一性と表現、性的指向、身体障害、容貌、民族性、体の大きさ、人種、年齢、宗教など。"
"29","intellectual position: approaches to data analysis, software preferences, coding style, scientific perspective, etc.","知的地位：データ分析へのアプローチ、ソフトウェアの好み、コーディングスタイル、科学的視点など。"
"31","stage of career","キャリアの段階"
"33","By participating in this community, you agree not to engage in behavior contrary to these values at any Bioconductor-sponsored event (in person or virtual, including but not limited to talks, workshops, poster sessions, social activities) or electronic communication channel (including but not limited to community-bioc Slack, the support site, online forums and social media communications).","このコミュニティに参加することにより、Bioconductorが主催するイベント (リアルまたはバーチャルのイベント、トーク、ワークショップ、ポスターセッション、ソーシャルアクティビティを含むがこれらに限定されない) または電子通信チャネル (community-bioc Slack、support.bioconductor.org、オンラインフォーラム、そしてソーシャルメディアコミュニケーションを含むがこれらに限定されない) でこれらの価値観に反する行動をとらないことに同意するものとします。"
"35","We do not tolerate harassment, intimidation, or bullying of community members.","我々はコミュニティメンバーへの嫌がらせ、脅迫、いじめを容認しません。"
"37","Sexual language and imagery are not appropriate in presentations, communications or in online venues, including chats.","性的な言葉や画像は、プレゼンテーション、コミュニケーション、またはチャットを含むオンラインの場でふさわしくありません。"
"39","Any person/s violating the Code of Conduct may be sanctioned or expelled temporarily or permanently from an electronic platform or event at the discretion of the Code of Conduct committee.","行動規範に違反する人は、行動規範委員会の裁量により、一時的または恒久的に電子プラットフォームまたはイベントから制裁または追放される場合があります。"
"41","Examples of unacceptable harassment, intimidation, and bullying behavior.","容認できない嫌がらせ、脅迫、いじめ行為の例。"
"43","Harassment includes, but is not limited to:","ハラスメントには以下が含まれますが、これらに限定されません:"
"45","Making comments in chats, to an audience or personally, that belittle or demean another person","チャットで次のようなコメントをする。聴衆に、または個人的に、他の人を軽蔑したり侮辱したりすること"
"47","Sharing sexual images online","性的な画像をオンラインで共有すること"
"49","Harassing photography or recording","嫌がらせの写真や記録"
"51","Sustained disruption of talks or other events","話し合いやその他のイベントのしつこい妨害"
"53","Unwelcome sexual attention","ありがたくない性的な注目のされ方"
"55","Advocating for, or encouraging, any of the above behavior","上記の行動のいずれかを支持または奨励すること"
"57","Intimidation and bullying include, but are not limited to:","脅迫やいじめには以下が含まれますが、これらに限定されません:"
"59","Aggressive or browbeating behavior","攻撃的なまたは怒鳴りつけるような行動"
"61","Mocking or insulting another person’s intellect, work, perspective, or question/comment","次を嘲笑または侮辱すること。他人の知性、仕事、視点、または質問/コメント"
"63","Making reference to someone’s gender, gender identity and expression, sexual orientation, disability, physical appearance, body size, race, age, religion, or other personal attributes in the context of a scientific discussion","次に言及すること。誰かの性別、性同一性と表現、性的指向、身体障害、容貌、体の大きさ、人種、年齢、宗教、または科学的議論の文脈でのその他の個人的属性"
"65","Deliberately making someone feel unwelcome","故意に誰かを歓迎されていないと感じさせること"
"67","Trolling behaviour (deliberately inflammatory of offensive messages)","荒らし行為 (故意に怒りをかき立てる攻撃的なメッセージを行うこと)"
"69","Sustained off-topic posts","しつこい主題からずれた投稿"
"71","Enforcement","執行"
"73","Anyone asked to stop harassing or intimidating behavior are expected to comply immediately.","嫌がらせや脅迫的な行動をやめるように求められた人は、すぐに従うように要求されます。"
"75","If a person/s contravene the Code of Conduct the Code of Conduct committee retains the right to take any action that ensures a welcoming environment for all community members.","行動規範に違反した場合、行動規範委員会は、すべてのコミュニティメンバーが快適な環境を確保するための行動を取る権利を保持します。"
"77","This includes warning the alleged offender or temporary/permanent expulsion from the event and/or electronic platforms under Bioconductor’s control.","これには、Bioconductorの管理下にあるイベント・電子プラットフォームからの違反被疑者の一時的・恒久的な除籍の警告が含まれます。"
"79","The Code of Conduct committee may take action to redress anything designed to, or with the clear impact of, disrupting an event or electronic communication platform or making the environment hostile for any community member.","行動規範委員会は「イベントや電子通信プラットフォームを混乱させたり、コミュニティメンバーにとって環境を敵対的にしたりする」ように意図されたまたは明確な影響を与えるものを是正するための措置を講じることがあります。"
"81","We expect everyone in the Bioconductor community to comply with the Code of Conduct when participating in Bioconductor events and online communication platforms.","我々はBioconductorのコミュニティのすべての人が、Bioconductorのイベントやオンラインコミュニケーションプラットフォームに参加する際に、行動規範を遵守することを求めています。"
"83","Reporting","報告"
"85","If someone makes you or anyone else feel unsafe or unwelcome, please report it as soon as possible.","誰かがあなたや他の誰かを「危ない、歓迎されない」と感じさせた場合は、できるだけ早く報告してください。"
